printer,ad,server,comment,driver,server,room,faculty
p_soc-colour,"CN=NXSARTSAPP-p_soc-colour;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,"Sociology Colour Printer","Xerox Phaser 6180DN PS","unknown unknown",Arts
p_stratford1,"CN=NXSARTSAPP-p_stratford1;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,"Worcentre 7428","Xerox Global Print Driver PS","unknown unknown",Arts
Eng_Conrad_Office,"CN=ENG-SERVE-Eng_Conrad_Office;CN=ENG-SERVE;OU=Windows;OU=Engineering Computing;OU=Engineering;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",ENG-SERVE,"CBET Office Printer","Xerox WorkCentre 7428 PCL6","ACC 201",Engineering
Eng_CBET_Office,"CN=ENG-SERVE-Eng_CBET_Office;CN=ENG-SERVE;OU=Windows;OU=Engineering Computing;OU=Engineering;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",ENG-SERVE,"CBET Office Printer","Xerox WorkCentre 7428 PCL6","ACC 224",Engineering
Eng_Conrad_Student,"CN=ENG-SERVE-Eng_CBET_Student;CN=ENG-SERVE;OU=Windows;OU=Engineering Computing;OU=Engineering;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",ENG-SERVE,"Conrad MBET Student Printer","HP LaserJet 4250 PCL 6","ACC 224",Engineering
Eng_Year1_Copier,"CN=ENG-SERVE-Eng_Year1_Copier;CN=ENG-SERVE;OU=Windows;OU=Engineering Computing;OU=Engineering;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",ENG-SERVE,"Engineering Year1 Office Copier","Xerox WorkCentre 5335","CPH 1325",Engineering
Eng_Year1,"CN=ENG-SERVE-Eng_Year1;CN=ENG-SERVE;OU=Windows;OU=Engineering Computing;OU=Engineering;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",ENG-SERVE,"Engineering Year1 Office Colour Printer","HP Universal Printing PCL 6","CPH 1325L",Engineering
Eng_EngSoc_Colour,"CN=ENG-SERVE-Eng_EngSoc_Colour;CN=ENG-SERVE;OU=Windows;OU=Engineering Computing;OU=Engineering;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",ENG-SERVE,"Engineering Society Office Colour Printer","HP Universal Printing PS","CPH 1327",Engineering
Eng_EngSoc_Copier,"CN=ENG-SERVE-Eng_EngSoc_Copier;CN=ENG-SERVE;OU=Windows;OU=Engineering Computing;OU=Engineering;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",ENG-SERVE,"Engineering Society Office Xerox Copier","Xerox WorkCentre 7545 PCL6","CPH 1327",Engineering
Eng_MMLab_Back,"CN=ENG-SERVE-Eng_MMLab_Back;CN=ENG-SERVE;OU=Windows;OU=Engineering Computing;OU=Engineering;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",ENG-SERVE,"It can duplex! (Engineering Computing Multi-Media Lab)","HP Universal Printing PCL 5","CPH 1346",Engineering
Eng_MMLab_Front,"CN=ENG-SERVE-Eng_MMLab_Front;CN=ENG-SERVE;OU=Windows;OU=Engineering Computing;OU=Engineering;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",ENG-SERVE,"It can duplex! (Engineering Computing Multi-Media Lab)","Kyocera FS-4000DN","CPH 1346",Engineering
Eng_Pulley,"CN=ENG-SERVE-Eng_Pulley;CN=ENG-SERVE;OU=Windows;OU=Engineering Computing;OU=Engineering;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",ENG-SERVE,"It can duplex! (Engineering Computing Pulley Lab)","HP LaserJet 4350 PCL 6","CPH 2367",Engineering
Eng_UndergradOffice_Copier2,"CN=ENG-SERVE-Eng_UndergradOffice_Copier2;CN=ENG-SERVE;OU=Windows;OU=Engineering Computing;OU=Engineering;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",ENG-SERVE,"Engineering Undergrad Office 2nd floor Copier","Xerox GPD PCL V2.2","CPH 2374",Engineering
Eng_CEPA,"CN=ENG-SERVE-Eng_CEPA;CN=ENG-SERVE;OU=Windows;OU=Engineering Computing;OU=Engineering;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",ENG-SERVE,"Engineering Cooperative Education Professional Affairs - Office Printer","HP LaserJet 2420 PCL 6","CPH 2374D",Engineering
Eng_WatPD_Copier,"CN=ENG-SERVE-Eng_WatPD_Copier;CN=ENG-SERVE;OU=Windows;OU=Engineering Computing;OU=Engineering;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",ENG-SERVE,"WatPD Office Copier","Xerox WorkCentre 5335","CPH 2376",Engineering
Eng_Research_Colour,"CN=ENG-SERVE-Eng_Resea0065862361;CN=ENG-SERVE;OU=Windows;OU=Engineering Computing;OU=Engineering;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",ENG-SERVE,"Engineering Research Office Colour Printer","HP Color LaserJet CP3525 PCL 6","CPH 3390",Engineering
Eng_Research_Copier,"CN=ENG-SERVE-Eng_Research_Colour;CN=ENG-SERVE;OU=Windows;OU=Engineering Computing;OU=Engineering;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",ENG-SERVE,"Dean of Engineering 3rd floor Office Copier","Xerox GPD PCL6 V2.1","CPH 3390",Engineering
Eng_Dean_CPH3603,"CN=ENG-SERVE-Eng_Dean_CPH3603;CN=ENG-SERVE;OU=Windows;OU=Engineering Computing;OU=Engineering;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",ENG-SERVE,"Dean of Engineering Office Staff Printer","HP Color LaserJet CP3525 PCL 6","CPH 3603",Engineering
Eng_Dean_Colour,"CN=ENG-SERVE-Eng_Dean_Colour;CN=ENG-SERVE;OU=Windows;OU=Engineering Computing;OU=Engineering;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",ENG-SERVE,"Engineering Dean","HP Color LaserJet 5550 PCL 6","CPH 4301",Engineering
Eng_Dean_Copier,"CN=ENG-SERVE-Eng_Dean_Copier;CN=ENG-SERVE;OU=Windows;OU=Engineering Computing;OU=Engineering;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",ENG-SERVE,"Dean of Engineering Office","Xerox GPD PCL6 V2.1","CPH 4301",Engineering
Eng_ManSci_Lab,"CN=ENG-SERVE-Eng_Mansci_Lab;CN=ENG-SERVE;OU=Windows;OU=Engineering Computing;OU=Engineering;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",ENG-SERVE,"Managment Sciences Engineering Student Lab Printer.","HP Universal Printing PCL 5","CPH 4335",Engineering
Eng_Lever,"CN=ENG-SERVE-Eng_Lever;CN=ENG-SERVE;OU=Windows;OU=Engineering Computing;OU=Engineering;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",ENG-SERVE,"It can duplex! (Engineering Computing Lever Lab)","HP Universal Printing PCL 5","E2 1302",Engineering
Eng_Wedge,"CN=ENG-SERVE-Eng_Wedge;CN=ENG-SERVE;OU=Windows;OU=Engineering Computing;OU=Engineering;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",ENG-SERVE,"It can duplex! (Engineering Computing Wedge Lab)","HP LaserJet P4010_P4510 Series PCL 6","E2 1302B",Engineering
