Exam,Section(s),Day,Date,Start,Finish,Location,,,,,,
CHEM 370,001,Monday,"December 12, 2016",12:30 PM,3:00 PM,TBA,,,,,,
CHEM 383,001,Tuesday,"December 20, 2016",12:30 PM,3:00 PM,MC 4045,,,,,,
CHEM 404,001,Saturday,"December 17, 2016",9:00 AM,11:30 AM,MC 4059,,,,,,
CHEM 432,001,Friday,"December 16, 2016",12:30 PM,3:00 PM,MC 4021,,,,,,
CHEM 440,001,Thursday,"December 8, 2016",9:00 AM,11:30 AM,TBA,,,,,,
CHEM 460,001,Monday,"December 19, 2016",9:00 AM,11:30 AM,MC 4042,,,,,,
CHEM 464,001,Wednesday,"December 21, 2016",9:00 AM,11:30 AM,MC 4041,,,,,,
CHEM 740,001,Thursday,"December 8, 2016",9:00 AM,11:30 AM,TBA,,,,,,
CHEM 770,001,Monday,"December 12, 2016",12:30 PM,3:00 PM,TBA,,,,,,
CHINA 101R,001 to 003,Thursday,"December 8, 2016",9:00 AM,11:30 AM,TBA,,,,,,
CHINA 102R,001,Monday,"December 12, 2016",9:00 AM,11:30 AM,TBA,,,,,,
CHINA 120R,"001,002",Wednesday,"December 21, 2016",4:00 PM,6:30 PM,TBA,,,,,,
CHINA 201R,001,Saturday,"December 10, 2016",12:30 PM,3:00 PM,TBA,,,,,,
CHINA 202R,001,Monday,"December 19, 2016",9:00 AM,11:30 AM,TBA,,,,,,
CHINA 301R,001,Thursday,"December 8, 2016",9:00 AM,11:30 AM,TBA,,,,,,
CIVE 115,"001,002",Monday,"December 12, 2016",12:30 PM,3:00 PM,STC 1012,,,,,,
CIVE 204,001,Thursday,"December 8, 2016",4:00 PM,6:30 PM,TBA,,,,,,
CIVE 221,001,Tuesday,"December 13, 2016",9:00 AM,11:30 AM,TBA,,,,,,
CIVE 224,001,Saturday,"December 10, 2016",12:30 PM,3:00 PM,TBA,,,,,,
CIVE 241,001,Monday,"December 19, 2016",9:00 AM,11:30 AM,TBA,,,,,,
CIVE 265,001,Thursday,"December 15, 2016",9:00 AM,11:30 AM,TBA,,,,,,
CIVE 313,001,Thursday,"December 8, 2016",9:00 AM,11:30 AM,TBA,,,,,,
CIVE 332,001,Monday,"December 12, 2016",9:00 AM,11:30 AM,TBA,,,,,,
CIVE 343,001,Wednesday,"December 14, 2016",9:00 AM,11:30 AM,TBA,,,,,,
CIVE 354,001,Friday,"December 16, 2016",9:00 AM,11:30 AM,TBA,,,,,,
CIVE 381,001,Monday,"December 19, 2016",12:30 PM,3:00 PM,TBA,,,,,,
CIVE 486,001,Tuesday,"December 20, 2016",12:30 PM,3:00 PM,TBA,,,,,,
CIVE 497,001,Friday,"December 9, 2016",7:30 PM,10:00 PM,TBA,,,,,,
CIVE 497,002,Thursday,"December 8, 2016",7:30 PM,10:00 PM,TBA,,,,,,
CLAS 100,001,Friday,"December 16, 2016",12:30 PM,2:30 PM,"MC 2034,2035",,,,,,
CLAS 202,001,Wednesday,"December 21, 2016",7:30 PM,9:30 PM,"PAC 1,2,3,4",,,,,,
CLAS 221,001,Monday,"December 19, 2016",7:30 PM,10:00 PM,TBA,,,,,,
CLAS 242,001,Thursday,"December 8, 2016",7:30 PM,9:30 PM,MC 4040,,,,,,
CLAS 251,001,Thursday,"December 22, 2016",12:30 PM,2:30 PM,MC 4045,,,,,,
CLAS 261,001,Wednesday,"December 14, 2016",7:30 PM,10:00 PM,TBA,,,,,,
