Exam,Section(s),Day,Date,Start,End,Location,,,,,,,,,,
CHE 562,001,Saturday,"April 22, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
CHE 564,001,Wednesday,"April 19, 2017",4:00 PM,6:30 PM,TBA,,,,,,,,,,
CHE 572,001,Tuesday,"April 18, 2017",12:30 PM,3:00 PM,"PAC 11,12",,,,,,,,,,
CHE 574,001,Monday,"April 10, 2017",9:00 AM,11:30 AM,DC 1350,,,,,,,,,,
CHE 622,001,Friday,"April 7, 2017",9:00 AM,11:30 AM,DC 1350,,,,,,,,,,
CHE 624,001,Thursday,"April 13, 2017",12:30 PM,3:00 PM,TBA,,,,,,,,,,
CHE 672,001,Tuesday,"April 18, 2017",12:30 PM,3:00 PM,"PAC 11,12",,,,,,,,,,
CHE 674,001,Monday,"April 10, 2017",9:00 AM,11:30 AM,DC 1350,,,,,,,,,,
CHEM 120,001,Tuesday,"April 25, 2017",12:30 PM,3:00 PM,"DC 1350,1351",,,,,,,,,,
CHEM 123,001 to 003,Wednesday,"April 19, 2017",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6,7,8,11,12, STC 1012",,,,,,,,,,
CHEM 123L,001 to 012,Thursday,"April 20, 2017",9:00 AM,11:00 AM,"PAC 1,2,3,4,5,6,7,8,11,12, DC 1350",,,,,,,,,,
CHEM 212,001,Friday,"April 21, 2017",9:00 AM,11:30 AM,STC 0020,,,,,,,,,,
CHEM 221,001,Monday,"April 17, 2017",7:30 PM,10:00 PM,MC 4059,,,,,,,,,,
CHEM 233,001,Wednesday,"April 19, 2017",4:00 PM,6:30 PM,PAC 12,,,,,,,,,,
CHEM 237,001,Wednesday,"April 12, 2017",7:30 PM,10:00 PM,"PAC 1,2,3",,,,,,,,,,
CHEM 237L,001 to 004,Tuesday,"April 25, 2017",9:00 AM,11:00 AM,M3 1006,,,,,,,,,,
CHEM 254,001,Friday,"April 7, 2017",12:30 PM,3:00 PM,DC 1350,,,,,,,,,,
CHEM 262,001,Saturday,"April 8, 2017",12:30 PM,3:00 PM,PAC 7,,,,,,,,,,
CHEM 265,001,Monday,"April 10, 2017",9:00 AM,11:30 AM,STC 0050,,,,,,,,,,
CHEM 267,001,Monday,"April 24, 2017",9:00 AM,11:30 AM,"PAC 4,5,6,11",,,,,,,,,,
CHEM 313,001,Tuesday,"April 11, 2017",7:30 PM,10:00 PM,PAC 11,,,,,,,,,,
CHEM 350,001,Friday,"April 7, 2017",7:30 PM,10:00 PM,"MC 2017,2054",,,,,,,,,,
CHEM 357,001,Wednesday,"April 12, 2017",4:00 PM,6:30 PM,DC 1350,,,,,,,,,,
CHEM 360,001,Tuesday,"April 18, 2017",7:30 PM,10:00 PM,DC 1350,,,,,,,,,,
CHEM 360L,001 to 003,Monday,"April 24, 2017",9:00 AM,11:00 AM,DC 1350,,,,,,,,,,
CHEM 381,001,Saturday,"April 22, 2017",12:30 PM,3:00 PM,PAC 4,,,,,,,,,,
CHEM 420,001,Thursday,"April 13, 2017",12:30 PM,3:00 PM,MC 4040,,,,,,,,,,
CHEM 433,001,Wednesday,"April 12, 2017",7:30 PM,10:00 PM,"PAC 1,2,3",,,,,,,,,,
CHEM 460,001,Monday,"April 10, 2017",9:00 AM,11:30 AM,STC 0060,,,,,,,,,,
CHEM 470,001,Friday,"April 7, 2017",12:30 PM,3:00 PM,TBA,,,,,,,,,,
CHEM 773,001,Friday,"April 7, 2017",12:30 PM,3:00 PM,TBA,,,,,,,,,,
CHINA 101R,"001,002",Monday,"April 24, 2017",7:30 PM,10:00 PM,TBA,,,,,,,,,,
CHINA 102R,001,Tuesday,"April 18, 2017",7:30 PM,10:00 PM,TBA,,,,,,,,,,
CHINA 120R,001,Friday,"April 7, 2017",4:00 PM,6:30 PM,TBA,,,,,,,,,,
CHINA 120R,002,Friday,"April 7, 2017",4:00 PM,6:30 PM,TBA,,,,,,,,,,
CHINA 201R,001,Monday,"April 10, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
CHINA 202R,001,Monday,"April 24, 2017",7:30 PM,10:00 PM,TBA,,,,,,,,,,
CHINA 302R,001,Monday,"April 10, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
CIVE 105,001,Tuesday,"April 18, 2017",12:30 PM,3:00 PM,M3 1006,,,,,,,,,,
CIVE 121,001,Friday,"April 21, 2017",12:30 PM,3:00 PM,M3 1006,,,,,,,,,,
CIVE 303,001,Friday,"April 7, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
CIVE 331,001,Tuesday,"April 11, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
CIVE 342,001,Thursday,"April 13, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
CIVE 353,001,Thursday,"April 20, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
CIVE 375,001,Tuesday,"April 18, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
CIVE 381,001,Monday,"April 17, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
CIVE 415,001,Monday,"April 10, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
CIVE 422,001,Monday,"April 17, 2017",7:30 PM,10:00 PM,TBA,,,,,,,,,,
CIVE 440,001,Thursday,"April 20, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
CIVE 460,001,Friday,"April 7, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
CIVE 484,001,Friday,"April 7, 2017",4:00 PM,6:30 PM,TBA,,,,,,,,,,
CIVE 497,001,Saturday,"April 22, 2017",4:00 PM,6:30 PM,TBA,,,,,,,,,,
CIVE 497,002,Friday,"April 7, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
CIVE 505,001,Thursday,"April 13, 2017",12:30 PM,3:00 PM,TBA,,,,,,,,,,
CIVE 507,001,Monday,"April 24, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
CIVE 542,001,Tuesday,"April 11, 2017",12:30 PM,3:00 PM,TBA,,,,,,,,,,
CIVE 554,001,Wednesday,"April 19, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
CIVE 583,001,Monday,"April 17, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
CIVE 596,001,Monday,"April 10, 2017",4:00 PM,6:30 PM,TBA,,,,,,,,,,
CLAS 104,001,Thursday,"April 20, 2017",4:00 PM,6:00 PM,"PAC 1,2,3,4,5,6,7",,,,,,,,,,
CLAS 105,001,Tuesday,"April 25, 2017",9:00 AM,11:00 AM,MC 4021,,,,,,,,,,
CLAS 201,001,Tuesday,"April 18, 2017",7:30 PM,9:30 PM,"PAC 1,2,3",,,,,,,,,,
CLAS 205,001,Thursday,"April 13, 2017",4:00 PM,6:00 PM,MC 1085,,,,,,,,,,
CLAS 221,001,Monday,"April 17, 2017",7:30 PM,9:30 PM,TBA,,,,,,,,,,
CLAS 232,001,Wednesday,"April 12, 2017",12:30 PM,2:30 PM,MC 4041,,,,,,,,,,
CLAS 252,001,Thursday,"April 13, 2017",12:30 PM,2:30 PM,MC 4045,,,,,,,,,,
CLAS 341,001,Thursday,"April 13, 2017",9:00 AM,11:00 AM,MC 4041,,,,,,,,,,
CLAS 361,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
CM 730,001,Friday,"April 7, 2017",12:30 PM,3:00 PM,MC 4041,,,,,,,,,,
CM 764,001,Monday,"April 10, 2017",4:00 PM,6:30 PM,PAC 12,,,,,,,,,,
CO 227,001,Tuesday,"April 18, 2017",7:30 PM,10:00 PM,MC 1085,,,,,,,,,,
CO 250,"001,002",Monday,"April 17, 2017",12:30 PM,3:00 PM,"PAC 4,5,6",,,,,,,,,,
CO 250,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
CO 255,001,Friday,"April 21, 2017",4:00 PM,6:30 PM,PAC 5,,,,,,,,,,
CO 327,001,Monday,"April 17, 2017",9:00 AM,11:30 AM,MC 4041,,,,,,,,,,
CO 331,001,Friday,"April 7, 2017",7:30 PM,10:00 PM,PAC 12,,,,,,,,,,
CO 353,001,Thursday,"April 13, 2017",12:30 PM,3:00 PM,MC 4041,,,,,,,,,,
CO 370,001,Monday,"April 17, 2017",12:30 PM,3:00 PM,"PAC 11,12",,,,,,,,,,
CO 372,001,Monday,"April 24, 2017",12:30 PM,3:00 PM,PAC 6,,,,,,,,,,
CO 430,001,Saturday,"April 8, 2017",12:30 PM,3:00 PM,TBA,,,,,,,,,,
CO 452,001,Friday,"April 7, 2017",12:30 PM,3:00 PM,MC 4040,,,,,,,,,,
CO 463,001,Friday,"April 7, 2017",7:30 PM,10:00 PM,MC 4040,,,,,,,,,,
CO 481,001,Monday,"April 17, 2017",9:00 AM,11:30 AM,STC 0010,,,,,,,,,,
CO 487,001,Monday,"April 10, 2017",7:30 PM,10:00 PM,"PAC 7,8",,,,,,,,,,
CO 630,001,Saturday,"April 8, 2017",12:30 PM,3:00 PM,TBA,,,,,,,,,,
CO 652,001,Friday,"April 7, 2017",12:30 PM,3:00 PM,MC 4040,,,,,,,,,,
CO 663,001,Friday,"April 7, 2017",7:30 PM,10:00 PM,MC 4040,,,,,,,,,,
CO 687,001,Monday,"April 10, 2017",7:30 PM,10:00 PM,"PAC 7,8",,,,,,,,,,
COMM 231,001,Friday,"April 21, 2017",4:00 PM,6:30 PM,"PAC 1,2",,,,,,,,,,
COMM 321,001,Saturday,"April 22, 2017",12:30 PM,3:00 PM,PAC 3,,,,,,,,,,
COMM 421,001,Friday,"April 7, 2017",12:30 PM,3:00 PM,MC 1056,,,,,,,,,,
COMM 432,001,Monday,"April 10, 2017",12:30 PM,3:00 PM,MC 4040,,,,,,,,,,
CROAT 102,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
CROAT 202,001,Monday,"April 10, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
CS 100,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
