Exam,Section,Day,Date,Start,End,Location
MATH 218,001,Monday,"August 8, 2011",7:30 PM,10:00 PM,PAC 5
MATH 225,001,Friday,"August 5, 2011",4:00 PM,6:30 PM,MC 2054
MATH 235,001 to 003,Saturday,"August 13, 2011",4:00 PM,6:30 PM,"PAC 1,2,3"
MATH 237,001 to 003,Monday,"August 8, 2011",9:00 AM,11:30 AM,"PAC 4,5,6"
MATH 239,001 to 004,Tuesday,"August 9, 2011",9:00 AM,11:30 AM,"PAC 1,2,3,4"
MATH 245,001,Thursday,"August 11, 2011",12:30 PM,3:00 PM,PAC 4
ME 123,001,Thursday,"August 4, 2011",12:30 PM,3:00 PM,"PAC 1,2,3"
ME 203,001,Thursday,"August 4, 2011",12:30 PM,3:00 PM,"E5 3101,3102"
ME 212,001,Saturday,"August 6, 2011",12:30 PM,3:00 PM,"E5 3101,3102"
ME 215,001,Tuesday,"August 2, 2011",9:00 AM,11:30 AM,DC 1350
ME 219,001,Thursday,"August 11, 2011",4:00 PM,6:30 PM,DWE 3522
ME 220,001,Wednesday,"August 10, 2011",12:30 PM,3:00 PM,"E5 3101,3102"
ME 250,001,Monday,"August 8, 2011",12:30 PM,3:00 PM,"E5 3101,3102"
ME 262,001,Tuesday,"August 2, 2011",12:30 PM,3:00 PM,"E5 3101,3102"
ME 303,001,Thursday,"August 11, 2011",12:30 PM,3:00 PM,"E5 3101,3102"
ME 321,001,Wednesday,"August 3, 2011",7:30 PM,10:00 PM,"E5 3101,3102"
ME 321,002,Wednesday,"August 10, 2011",9:00 AM,11:30 AM,"E5 3101,3102"
ME 340,001,Wednesday,"August 10, 2011",9:00 AM,11:30 AM,"CPH 3602,3604"
ME 351,001,Friday,"August 5, 2011",9:00 AM,11:30 AM,"E5 3101,3102"
ME 354,001,Tuesday,"August 2, 2011",12:30 PM,3:00 PM,"CPH 3602,3604"
ME 423,001,Tuesday,"August 2, 2011",9:00 AM,11:30 AM,CPH 3679
ME 435,001,Wednesday,"August 10, 2011",12:30 PM,3:00 PM,DWE 2527
