Exam,Section(s),Day,Date,Start,Finish,Location
ME 235,001,Wednesday,"December 13, 2017",7:30 PM,10:00 PM,TBA
ME 250,001,Friday,"December 15, 2017",12:30 PM,3:00 PM,TBA
ME 250,002,Saturday,"December 9, 2017",12:30 PM,3:00 PM,TBA
ME 262,001,Wednesday,"December 13, 2017",12:30 PM,3:00 PM,TBA
ME 269,001,Wednesday,"December 13, 2017",4:00 PM,6:30 PM,TBA
ME 322,001,Friday,"December 8, 2017",12:30 PM,3:00 PM,TBA
ME 351,001,Monday,"December 11, 2017",4:00 PM,6:30 PM,TBA
ME 353,001,Thursday,"December 14, 2017",4:00 PM,6:30 PM,TBA
ME 360,001,Monday,"December 18, 2017",4:00 PM,6:30 PM,TBA
ME 362,001,Tuesday,"December 12, 2017",4:00 PM,6:30 PM,TBA
ME 423,001,Tuesday,"December 19, 2017",4:00 PM,6:30 PM,TBA
ME 436,001,Tuesday,"December 12, 2017",7:30 PM,10:00 PM,TBA
ME 456,001,Monday,"December 11, 2017",9:00 AM,11:30 AM,TBA
ME 459,001,Tuesday,"December 12, 2017",9:00 AM,11:30 AM,TBA
ME 548,001,Monday,"December 11, 2017",9:00 AM,11:30 AM,TBA
ME 559,001,Saturday,"December 9, 2017",12:30 PM,3:00 PM,TBA
ME 561,001,Monday,"December 18, 2017",12:30 PM,3:00 PM,TBA
ME 599,001,Tuesday,"December 19, 2017",9:00 AM,11:30 AM,TBA
ME 599,002,Thursday,"December 7, 2017",7:30 PM,10:00 PM,TBA
ME 760,001,Tuesday,"December 19, 2017",9:00 AM,11:30 AM,TBA
MEDVL 115,001,Friday,"December 15, 2017",7:30 PM,10:00 PM,Sched Only
MEDVL 250R,001,Friday,"December 8, 2017",9:00 AM,11:30 AM,Sched Only
MNS 101,001,Thursday,"December 21, 2017",12:30 PM,3:00 PM,TBA
MNS 211,001,Wednesday,"December 20, 2017",12:30 PM,3:00 PM,TBA
MNS 321,001,Wednesday,"December 13, 2017",7:30 PM,10:00 PM,TBA
MNS 331,001,Thursday,"December 7, 2017",7:30 PM,10:00 PM,TBA
MSCI 211,001,Friday,"December 8, 2017",9:00 AM,11:30 AM,TBA
MSCI 211,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
MSCI 240,001,Friday,"December 15, 2017",4:00 PM,6:30 PM,TBA
MSCI 261,001,Thursday,"December 7, 2017",7:30 PM,10:00 PM,Sched Only
MSCI 261,002,Thursday,"December 7, 2017",12:30 PM,3:00 PM,TBA
MSCI 261,003,Monday,"December 18, 2017",7:30 PM,10:00 PM,TBA
MSCI 262,"001,002",Thursday,"December 7, 2017",12:30 PM,3:00 PM,TBA
