Exam,Section,Day,Date,Start,Finish,Location,,,,,,,,,,
ECE 475,001,Thursday,"August 11, 2016",12:30 PM,3:00 PM,PAC 10,,,,,,,,,,
ECE 481,001,Thursday,"August 11, 2016",12:30 PM,3:00 PM,PAC 9,,,,,,,,,,
ECE 486,001,Exam removed from schedule. Contact instructor for further information.,,,,,,,,,,,,,,
ECE 493,001,Tuesday,"August 2, 2016",9:00 AM,11:30 AM,MC 4041,,,,,,,,,,
ECE 730,002,Tuesday,"August 2, 2016",9:00 AM,11:30 AM,MC 4041,,,,,,,,,,
ECON 101,001,Tuesday,"August 9, 2016",4:00 PM,6:30 PM,"PAC 1,2,3",,,,,,,,,,
ECON 101,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
ECON 102,001,Thursday,"August 4, 2016",9:00 AM,11:30 AM,"PAC 7,8",,,,,,,,,,
ECON 102,002,Thursday,"August 4, 2016",9:00 AM,11:30 AM,"PAC 1,2",,,,,,,,,,
ECON 102,003,Thursday,"August 4, 2016",9:00 AM,11:30 AM,"PAC 4,5",,,,,,,,,,
ECON 201,"001,002",Tuesday,"August 9, 2016",4:00 PM,6:30 PM,"PAC 4,5",,,,,,,,,,
ECON 201,003,Tuesday,"August 9, 2016",4:00 PM,6:30 PM,PAC 6,,,,,,,,,,
ECON 202,001,Monday,"August 8, 2016",7:30 PM,10:00 PM,PAC 1,,,,,,,,,,
ECON 202,002,Monday,"August 8, 2016",7:30 PM,10:00 PM,PAC 2,,,,,,,,,,
ECON 202,003,Monday,"August 8, 2016",7:30 PM,10:00 PM,PAC 3,,,,,,,,,,
ECON 211,001,Thursday,"August 11, 2016",12:30 PM,3:00 PM,PAC 8,,,,,,,,,,
ECON 221,001,Wednesday,"August 3, 2016",9:00 AM,11:30 AM,"PAC 9,10",,,,,,,,,,
ECON 221,002,Wednesday,"August 3, 2016",9:00 AM,11:30 AM,PAC 3,,,,,,,,,,
ECON 231,"001,002",Thursday,"August 4, 2016",7:30 PM,9:30 PM,"DC 1350,1351",,,,,,,,,,
