Exam,Section(s),Day,Date,Start,End,Location
STAT 331,001,Tuesday,"July 31, 2012",4:00 PM,6:30 PM,"PAC 11,12"
STAT 332,001,Monday,"July 30, 2012",9:00 AM,11:30 AM,M3 1006
STAT 333,001,Friday,"August 3, 2012",7:30 PM,10:00 PM,"PAC 5,6"
STAT 334,001,Friday,"August 10, 2012",7:30 PM,10:00 PM,PAC 4
STAT 340,"001,002",Thursday,"August 2, 2012",4:00 PM,6:30 PM,"PAC 1,2,3"
STAT 371,001,Friday,"August 3, 2012",9:00 AM,11:30 AM,"PAC 6,7"
STAT 372,001,Tuesday,"July 31, 2012",4:00 PM,6:30 PM,PAC 6
STAT 430,001,Saturday,"August 4, 2012",12:30 PM,3:00 PM,PAC 4
STAT 443,001,Wednesday,"August 8, 2012",9:00 AM,11:30 AM,"PAC 7,8"
STAT 830,001,Saturday,"August 4, 2012",12:30 PM,3:00 PM,PAC 4
SYDE 112,001,Tuesday,"July 31, 2012",9:00 AM,11:30 AM,See Prof
SYDE 114,001,Tuesday,"August 7, 2012",12:30 PM,3:00 PM,See Prof
SYDE 162,001,Thursday,"August 9, 2012",9:00 AM,11:30 AM,See Prof
SYDE 182,001,Monday,"July 30, 2012",9:00 AM,11:30 AM,See Prof
SYDE 192,001,Thursday,"August 2, 2012",9:00 AM,11:30 AM,See Prof
SYDE 311,001,Monday,"July 30, 2012",12:30 PM,3:00 PM,See Prof
SYDE 351,001,Tuesday,"August 7, 2012",9:00 AM,11:30 AM,See Prof
SYDE 351,002,Friday,"August 3, 2012",12:30 PM,3:00 PM,See Prof
SYDE 381,001,Friday,"August 3, 2012",9:00 AM,11:30 AM,See Prof
SYDE 383,001,Wednesday,"August 1, 2012",9:00 AM,11:30 AM,See Prof
