Exam,Section(s),Day,Day/Date,Start,Finish,Location,,,,,,,,,,,
CHE 331,001,Tuesday,"April 23, 2019",7:30 PM,10:00 PM,"E6 2024, 4022",,,,,,,,,,,
CHE 361,001,Wednesday,"April 17, 2019",4:00 PM,6:30 PM,"E6 2024, 4022",,,,,,,,,,,
CHE 425,001,Monday,"April 15, 2019",7:30 PM,10:00 PM,"E6 2024, 4022",,,,,,,,,,,
CHE 483,001,Thursday,"April 18, 2019",9:00 AM,11:30 AM,"DWE 2529, 3516, 3518, E6 2024, 4022",,,,,,,,,,,
CHE 522,001,Thursday,"April 11, 2019",12:30 PM,3:00 PM,"E6 2024, 4022",,,,,,,,,,,
CHE 543,001,Friday,"April 12, 2019",9:00 AM,11:30 AM,E6 4022,,,,,,,,,,,
CHE 562,001,Tuesday,"April 16, 2019",4:00 PM,6:30 PM,E6 4022,,,,,,,,,,,
CHE 564,001,Monday,"April 22, 2019",12:30 PM,3:00 PM,DWE 2529,,,,,,,,,,,
CHE 572,001,Exam removed from schedule. Contact instructor for further information.,,,,,,,,,,,,,,,
CHE 574,001,Wednesday,"April 10, 2019",12:30 PM,3:00 PM,"MC 4061,4063",,,,,,,,,,,
CHE 624,001,Thursday,"April 11, 2019",12:30 PM,3:00 PM,"E6 2024, 4022",,,,,,,,,,,
CHE 672,001,Exam removed from schedule. Contact instructor for further information.,,,,,,,,,,,,,,,
CHE 674,001,Wednesday,"April 10, 2019",12:30 PM,3:00 PM,"MC 4061,4063",,,,,,,,,,,
CHEM 120,001,Wednesday,"April 10, 2019",12:30 PM,3:00 PM,"STC 0010,0020,0040",,,,,,,,,,,
CHEM 123,001-004,Wednesday,"April 10, 2019",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6,7,8, PAC UPPER 9,10,11
STC 1012, M3 1006",,,,,,,,,,,
CHEM 123L,001-012,Wednesday,"April 10, 2019",7:30 PM,9:30 PM,"PAC 1,2,3,4,5,6,7,8, PAC UPPER 9,10,11
MC 4020,4021",,,,,,,,,,,
CHEM 212,001,Wednesday,"April 17, 2019",4:00 PM,6:30 PM,DC 1350,,,,,,,,,,,
CHEM 233,001,Friday,"April 12, 2019",12:30 PM,3:00 PM,MC 4020,,,,,,,,,,,
CHEM 237,001,Wednesday,"April 10, 2019",4:00 PM,6:30 PM,"PAC 1,2,3",,,,,,,,,,,
CHEM 237L,001-003,Tuesday,"April 16, 2019",4:00 PM,6:00 PM,"STC 0010,0020",,,,,,,,,,,
CHEM 254,001,Thursday,"April 25, 2019",7:30 PM,10:00 PM,"STC 0050, 0060",,,,,,,,,,,
CHEM 262,001,Thursday,"April 11, 2019",12:30 PM,3:00 PM,MC 4020,,,,,,,,,,,
CHEM 265,001,Monday,"April 22, 2019",7:30 PM,10:00 PM,PAC 8,,,,,,,,,,,
CHEM 267,001,Friday,"April 12, 2019",9:00 AM,11:30 AM,"STC 1012,0010,0020",,,,,,,,,,,
CHEM 313,001,Monday,"April 22, 2019",9:00 AM,11:30 AM,MC 4045,,,,,,,,,,,
CHEM 350,001,Thursday,"April 18, 2019",9:00 AM,11:30 AM,"STC 0020, 0040",,,,,,,,,,,
CHEM 357,001,Wednesday,"April 10, 2019",12:30 PM,3:00 PM,DC 1350,,,,,,,,,,,
CHEM 360,001,Friday,"April 26, 2019",4:00 PM,6:30 PM,M3 1006,,,,,,,,,,,
CHEM 381,001,Tuesday,"April 16, 2019",4:00 PM,6:30 PM,MC 4040,,,,,,,,,,,
CHEM 400,001,Friday,"April 12, 2019",7:30 PM,10:00 PM,PAC UPPER 11,,,,,,,,,,,
CHEM 400,003,Thursday,"April 18, 2019",9:00 AM,11:30 AM,MC 4063,,,,,,,,,,,
CHEM 400,004,Thursday,"April 11, 2019",12:30 PM,3:00 PM,MC 4042,,,,,,,,,,,
CHEM 430,001,Wednesday,"April 24, 2019",7:30 PM,9:30 PM,PAC UPPER 11,,,,,,,,,,,
CHEM 433,001,Monday,"April 15, 2019",4:00 PM,6:30 PM,MC 4060,,,,,,,,,,,
CHEM 773,001,Thursday,"April 11, 2019",12:30 PM,3:00 PM,MC 4042,,,,,,,,,,,
CHINA 101R,"001,002",Friday,"April 26, 2019",9:00 AM,11:30 AM,REN 2106,,,,,,,,,,,
CHINA 102R,001,Saturday,"April 13, 2019",9:00 AM,11:30 AM,REN 2107,,,,,,,,,,,
CHINA 120R,"001,002",Friday,"April 26, 2019",7:30 PM,10:00 PM,RCH 105,,,,,,,,,,,
CHINA 201R,001,Tuesday,"April 23, 2019",4:00 PM,6:30 PM,REN 2107,,,,,,,,,,,
CHINA 202R,001,Thursday,"April 25, 2019",4:00 PM,6:30 PM,REN 2102,,,,,,,,,,,
CHINA 302R,001,Thursday,"April 18, 2019",9:00 AM,11:30 AM,REN 2106,,,,,,,,,,,
CIVE 105,001,Saturday,"April 13, 2019",12:30 PM,3:00 PM,M3 1006,,,,,,,,,,,
CIVE 121,001,Thursday,"April 18, 2019",12:30 PM,3:00 PM,"STC 0010,0020",,,,,,,,,,,
CIVE 303,001,Thursday,"April 25, 2019",9:00 AM,11:30 AM,"RCH 301, 302",,,,,,,,,,,
CIVE 332,001,Monday,"April 15, 2019",4:00 PM,6:30 PM,"STC 0050, 0060",,,,,,,,,,,
CIVE 341,001,Thursday,"April 11, 2019",9:00 AM,11:30 AM,"RCH 301, 302",,,,,,,,,,,
CIVE 353,001,Wednesday,"April 17, 2019",9:00 AM,11:30 AM,"RCH 301, 302",,,,,,,,,,,
CIVE 382,001,Monday,"April 22, 2019",9:00 AM,11:30 AM,AHS 1689,,,,,,,,,,,
CIVE 415,001,Monday,"April 22, 2019",12:30 PM,3:00 PM,RCH 307,,,,,,,,,,,
CIVE 422,001,Wednesday,"April 24, 2019",9:00 AM,11:30 AM,DWE 3516,,,,,,,,,,,
CIVE 440,001,Wednesday,"April 10, 2019",9:00 AM,11:30 AM,RCH 302,,,,,,,,,,,
CIVE 460,001,Friday,"April 12, 2019",9:00 AM,11:30 AM,RCH 302,,,,,,,,,,,
CIVE 497,001,Tuesday,"April 16, 2019",12:30 PM,3:00 PM,"E5 3101, 3102",,,,,,,,,,,
CIVE 497,007,Wednesday,"April 10, 2019",7:30 PM,10:00 PM,DWE 3518,,,,,,,,,,,
CIVE 497,009,Wednesday,"April 10, 2019",7:30 PM,10:00 PM,E2 3356,,,,,,,,,,,
CIVE 505,001,Thursday,"April 11, 2019",7:30 PM,10:00 PM,DWE 2527,,,,,,,,,,,
